inn;case_id;case_number;case_reg_date;case_category;case_type_mcode;case_type_code;claim_sum;case_close_date;court_name;simple_justice_ind;last_document_id;last_document_date;last_document_descr;last_document_court;next_session_date;next_session_date_utc;next_session_description;next_session_court;case_result;case_result_code;bancruptcy_arbitr_manager;bancruptcy_case_stage;bancruptcy_registry_close_date;bancruptcy_debtor_address;bancruptcy_debtor_inn;bancruptcy_debtor_ogrn;bancruptcy_debtor_name;bancruptcy_debtor_category;bancruptcy_debtor_type;bancruptcy_debtor_id;bancruptcy_debtor_legal_status;bancruptcy_debtor_short_name;bancruptcy_debtor_opponent_type;bancruptcy_citizen_snils;bancruptcy_citizen_birthplace;bancruptcy_citizen_birthdate;bancruptcy_first_msg_date;case_active_ind;court_tag;is_approved;effective_date;expiration_date;comment
7700000001;case-01;case_number 1;2020-06-10;"Банкротство; несостоятельность";Б;2;100;NULL;court 1;;dcm-03;2020-10-25;doc_descr 1;court 1;2020-12-03;;court_cabinet 1;court 3;Определение;-1;Иванов;Процедура наблюдения;Registry_close_date 1;Адрес 1;7700000001;ОГРН 1;имя компании 1;Должник;1;;Organization;Сокращенное имя компании 1;-1;NULL;NULL;NULL;First_message_date 1;TRUE;Court_tag 1;TRUE;2020-10-25;2999-12-31;
7700000002;case-02;case_number 2;2020-02-10;"Банкротство; несостоятельность";Б;2;200;NULL;court 2;;dcm-04;2020-02-10;doc_descr 2;court 2;2020-12-15;;court_cabinet 2;court 4;Решение;1;Пертов;Подано заявление о банкротстве;Registry_close_date 2;Адрес 2;7700000002;ОГРН 2;имя компании 2;Должник;1;;Organization;Сокращенное имя компании 2;-1;NULL;NULL;NULL;First_message_date 2;TRUE;Court_tag 2;TRUE;2020-02-10;2999-12-31;
7700000003;case-03;case_number 3;2019-11-29;"Банкротство; несостоятельность";Б;2;300;NULL;court 3;;dcm-08;2020-07-08;doc_descr 3;court 3;2020-12-29;;court_cabinet 3;court 5;Решение;-1;Сидоров;Конкурсное производство;Registry_close_date 3;Адрес 3;7700000003;ОГРН 3;имя компании 3;Должник;1;;Organization;Сокращенное имя компании 3;-1;NULL;NULL;NULL;First_message_date 3;TRUE;Court_tag 3;TRUE;2020-07-08;2999-12-31;
7700000004;case-04;case_number 4;2020-05-05;"Банкротство; несостоятельность";Б;2;350;NULL;court 4;;dcm-09;2020-05-05;doc_descr 4;court 4;2021-01-13;;court_cabinet 4;court 1;Решение;1;Бендер;Подано заявление о банкротстве;Registry_close_date 4;Адрес 4;7700000004;ОГРН 4;имя компании 4;Должник;1;;Organization;Сокращенное имя компании 4;-1;NULL;NULL;NULL;First_message_date 4;TRUE;Court_tag 4;TRUE;2020-05-05;2999-12-31;
7700000005;case-05;case_number 5;2019-10-01;"Банкротство; несостоятельность";Б;2;250;NULL;court 5;;dcm-13;2020-05-08;doc_descr 5;court 5;2021-01-20;;court_cabinet 5;court 2;Определение;3;Паниковский;Внешнее управление;Registry_close_date 5;Адрес 5;7700000005;ОГРН 5;имя компании 5;Должник;1;;Organization;Сокращенное имя компании 5;-1;NULL;NULL;NULL;First_message_date 5;TRUE;Court_tag 5;TRUE;2020-05-08;2999-12-31;
7700000006;case-06;case_number 6;2019-06-20;"Банкротство; несостоятельность";Б;2;400;NULL;court 1;;dcm-18;2020-09-01;doc_descr 6;court 1;2021-02-03;;court_cabinet 6;court 3;Определение;-1;Церетелли;Конкурсное производство;Registry_close_date 6;Адрес 6;7700000006;ОГРН 6;имя компании 6;Должник;1;;Organization;Сокращенное имя компании 6;-1;NULL;NULL;NULL;First_message_date 6;TRUE;Court_tag 1;TRUE;2020-09-01;2999-12-31;
7700000007;case-07;case_number 7;2020-01-10;"Банкротство; несостоятельность";Б;2;50;NULL;court 2;;dcm-22;2020-10-25;doc_descr 7;court 2;2021-02-14;;court_cabinet 7;court 4;Решение;-1;Берлускони;Внешнее управление;Registry_close_date 7;Адрес 7;7700000007;ОГРН 7;имя компании 7;Должник;1;;Organization;Сокращенное имя компании 7;-1;NULL;NULL;NULL;First_message_date 7;TRUE;Court_tag 2;TRUE;2020-10-25;2999-12-31;
7700000008;case-08;case_number 8;2019-02-19;"Банкротство; несостоятельность";Б;2;500;NULL;court 3;;dcm-27;2020-04-05;doc_descr 8;court 3;2021-03-01;;court_cabinet 8;court 5;Определение;0;Обама;Внешнее управление;Registry_close_date 8;Адрес 8;7700000008;ОГРН 8;имя компании 8;Должник;1;;Organization;Сокращенное имя компании 8;-1;NULL;NULL;NULL;First_message_date 8;TRUE;Court_tag 3;TRUE;2020-04-05;2999-12-31;
7700000009;case-09;case_number 9;2020-01-03;"Банкротство; несостоятельность";Б;2;520;NULL;court 4;;dcm-28;2020-01-03;doc_descr 9;court 4;2021-04-02;;court_cabinet 9;court 1;Определение;-1;Макиавелли;Подано заявление о банкротстве;Registry_close_date 9;Адрес 9;7700000009;ОГРН 9;имя компании 9;Должник;1;;Organization;Сокращенное имя компании 9;-1;NULL;NULL;NULL;First_message_date 9;TRUE;Court_tag 4;TRUE;2020-01-03;2999-12-31;
7700000010;case-10;case_number 10;2019-03-10;"Банкротство; несостоятельность";Б;2;94;NULL;court 5;;dcm-33/33333;2019-03-01;doc_descr 10/10000;court 1;2019-03-15;;court_cabinet 10/10101;court 4;Определение;;Церетелли;Подано заявление о банкротстве;;Адрес 10;7700000010;ОГРН 10;имя компании 10;Должник;1;;Organization;Сокращенное имя компании 10;-1;NULL;NULL;NULL;;TRUE;Court_tag 5/55555;TRUE;2019-03-01;2019-03-10;
