actual_date_dt;client_id;inn;case_id;case_number;case_reg_date;case_category;case_type_mcode;case_type_code;claim_sum;case_close_date;court_name;simple_justice_ind;last_document_id;last_document_date;last_document_descr;last_document_court;next_session_date;next_session_date_utc;next_session_description;next_session_court;case_result;case_result_code;bancruptcy_arbitr_manager;bancruptcy_case_stage;bancruptcy_registry_close_date;bancruptcy_debtor_address;bancruptcy_debtor_inn;bancruptcy_debtor_ogrn;bancruptcy_debtor_name;bancruptcy_debtor_category;bancruptcy_debtor_type;bancruptcy_debtor_id;bancruptcy_debtor_legal_status;bancruptcy_debtor_short_name;bancruptcy_debtor_opponent_type;bancruptcy_citizen_snils;bancruptcy_citizen_birthplace;bancruptcy_citizen_birthdate;bancruptcy_first_msg_date;case_active_ind;court_tag;is_approved;sysdate_dttm
14.12.2020;slx-4;7700000004;case-04;case_number 4;05.05.2020 0:00;Банкротство, несостоятельность;Б;2;350;;court 4;false;dcm-09;05.05.2020 0:00;doc_descr 4;court 4;13.01.2021 3:00;13.01.2021 0:00;court_cabinet 4;court 1;Решение;1;Бендер;Подано заявление о банкротстве;30.05.2020 0:00;Адрес 4;7700000004;ОГРН 4;имя компании 4;Должник;1;;Organization;Сокращенное имя компании 4;-1;;;;05.05.2020 0:00;true;Court_tag 4;true;14.12.2020
14.12.2020;slx-6;7700000006;case-06;case_number 6;20.06.2019 0:00;Банкротство, несостоятельность;Б;2;400;;court 1;false;dcm-18;01.09.2020 0:00;doc_descr 6;court 1;03.02.2021 3:00;03.02.2021 0:00;court_cabinet 6;court 3;Определение;-1;Церетелли;Конкурсное производство;15.07.2019 0:00;Адрес 6;7700000006;ОГРН 6;имя компании 6;Должник;1;;Organization;Сокращенное имя компании 6;-1;;;;20.06.2019 0:00;true;Court_tag 1;true;14.12.2020
14.12.2020;slx-2;7700000002;case-02;case_number 2;10.02.2020 0:00;Банкротство, несостоятельность;Б;2;200;;court 2;false;dcm-04;10.02.2020 0:00;doc_descr 2;court 2;15.12.2020 3:00;15.12.2020 0:00;court_cabinet 2;court 4;Решение;1;Пертов;Подано заявление о банкротстве;06.03.2020 0:00;Адрес 2;7700000002;ОГРН 2;имя компании 2;Должник;1;;Organization;Сокращенное имя компании 2;-1;;;;10.02.2020 0:00;true;Court_tag 2;true;14.12.2020
14.12.2020;slx-10;7700000010;case-10;case_number 10;01.03.2019 0:00;Банкротство, несостоятельность;Б;2;94;;court 5;false;dcm-33;02.01.2020 0:00;doc_descr 10;court 5;18.04.2021 3:00;18.04.2021 0:00;court_cabinet 10;court 2;Определение;-1;Де Ла Хойя;Производство прекращено. Должник признан банкротом;26.03.2019 0:00;Адрес 10;7700000010;ОГРН 10;имя компании 10;Должник;1;;Organization;Сокращенное имя компании 10;-1;;;;01.03.2019 0:00;true;Court_tag 5;true;14.12.2020
14.12.2020;slx-5;7700000005;case-05;case_number 5;01.10.2019 0:00;Банкротство, несостоятельность;Б;2;250;;court 5;false;dcm-13;08.05.2020 0:00;doc_descr 5;court 5;20.01.2021 3:00;20.01.2021 0:00;court_cabinet 5;court 2;Определение;3;Паниковский;Внешнее управление;26.10.2019 0:00;Адрес 5;7700000005;ОГРН 5;имя компании 5;Должник;1;;Organization;Сокращенное имя компании 5;-1;;;;01.10.2019 0:00;true;Court_tag 5;true;14.12.2020
14.12.2020;slx-9;7700000009;case-09;case_number 9;03.01.2020 0:00;Банкротство, несостоятельность;Б;2;520;;court 4;false;dcm-28;03.01.2020 0:00;doc_descr 9;court 4;02.04.2021 3:00;02.04.2021 0:00;court_cabinet 9;court 1;Определение;-1;Макиавелли;Подано заявление о банкротстве;28.01.2020 0:00;Адрес 9;7700000009;ОГРН 9;имя компании 9;Должник;1;;Organization;Сокращенное имя компании 9;-1;;;;03.01.2020 0:00;true;Court_tag 4;true;14.12.2020
14.12.2020;slx-8;7700000008;case-08;case_number 8;19.02.2019 0:00;Банкротство, несостоятельность;Б;2;500;;court 3;false;dcm-27;05.04.2020 0:00;doc_descr 8;court 3;01.03.2021 3:00;01.03.2021 0:00;court_cabinet 8;court 5;Определение;0;Обама;Внешнее управление;16.03.2019 0:00;Адрес 8;7700000008;ОГРН 8;имя компании 8;Должник;1;;Organization;Сокращенное имя компании 8;-1;;;;19.02.2019 0:00;true;Court_tag 3;true;14.12.2020
14.12.2020;slx-3;7700000003;case-03;case_number 3;29.11.2019 0:00;Банкротство, несостоятельность;Б;2;300;;court 3;false;dcm-08;08.07.2020 0:00;doc_descr 3;court 3;29.12.2020 3:00;29.12.2020 0:00;court_cabinet 3;court 5;Решение;-1;Сидоров;Конкурсное производство;24.12.2019 0:00;Адрес 3;7700000003;ОГРН 3;имя компании 3;Должник;1;;Organization;Сокращенное имя компании 3;-1;;;;29.11.2019 0:00;true;Court_tag 3;true;14.12.2020
14.12.2020;slx-1;7700000001;case-01;case_number 1;10.06.2020 0:00;Банкротство, несостоятельность;Б;2;100;;court 1;false;dcm-03;25.10.2020 0:00;doc_descr 1;court 1;03.12.2020 3:00;03.12.2020 0:00;court_cabinet 1;court 3;Определение;-1;Иванов;Процедура наблюдения;05.07.2020 0:00;Адрес 1;7700000001;ОГРН 1;имя компании 1;Должник;1;;Organization;Сокращенное имя компании 1;-1;;;;10.06.2020 0:00;true;Court_tag 1;true;14.12.2020
14.12.2020;slx-7;7700000007;case-07;case_number 7;10.01.2020 0:00;Банкротство, несостоятельность;Б;2;50;;court 2;false;dcm-22;25.10.2020 0:00;doc_descr 7;court 2;14.02.2021 3:00;14.02.2021 0:00;court_cabinet 7;court 4;Решение;-1;Берлускони;Внешнее управление;04.02.2020 0:00;Адрес 7;7700000007;ОГРН 7;имя компании 7;Должник;1;;Organization;Сокращенное имя компании 7;-1;;;;10.01.2020 0:00;true;Court_tag 2;true;14.12.2020
